location,date,vaccine,total_vaccinations
Argentina,2021-01-17,Pfizer/BioNTech,15
Argentina,2021-01-17,Sputnik V,233121
Argentina,2021-01-18,Pfizer/BioNTech,16
Argentina,2021-01-18,Sputnik V,242954
Argentina,2021-01-19,CanSino,1
Argentina,2021-01-19,Sinopharm/Beijing,24
Argentina,2021-01-19,Sputnik V,256208
Argentina,2021-01-20,Sputnik V,275642
Argentina,2021-01-21,Oxford/AstraZeneca,20
Argentina,2021-01-21,Sinopharm/Beijing,26
Argentina,2021-01-21,Sputnik V,289756
Argentina,2021-01-22,Oxford/AstraZeneca,23
Argentina,2021-01-22,Sinopharm/Beijing,27
Argentina,2021-01-22,Sputnik V,298976
Argentina,2021-01-23,Oxford/AstraZeneca,28
Argentina,2021-01-23,Sputnik V,302921
Argentina,2021-01-24,Oxford/AstraZeneca,29
Argentina,2021-01-24,Sputnik V,303224
Argentina,2021-01-25,Oxford/AstraZeneca,37
Argentina,2021-01-25,Sputnik V,317436
Argentina,2021-01-26,Oxford/AstraZeneca,75
Argentina,2021-01-26,Sinopharm/Beijing,28
Argentina,2021-01-26,Sputnik V,330214
Argentina,2021-01-27,Oxford/AstraZeneca,77
Argentina,2021-01-27,Sputnik V,340327
Argentina,2021-01-28,Oxford/AstraZeneca,78
Argentina,2021-01-28,Sputnik V,356376
Argentina,2021-01-29,Oxford/AstraZeneca,79
Argentina,2021-01-29,Sputnik V,379880
Argentina,2021-01-30,Sputnik V,389196
Argentina,2021-01-31,CanSino,2
Argentina,2021-01-31,Sinopharm/Beijing,29
Argentina,2021-01-31,Sputnik V,389819
Argentina,2021-02-01,Oxford/AstraZeneca,98
Argentina,2021-02-01,Sinopharm/Beijing,30
Argentina,2021-02-01,Sputnik V,409335
Argentina,2021-02-02,Oxford/AstraZeneca,131
Argentina,2021-02-02,Sputnik V,433186
Argentina,2021-02-03,Oxford/AstraZeneca,139
Argentina,2021-02-03,Sinopharm/Beijing,33
Argentina,2021-02-03,Sputnik V,459800
Argentina,2021-02-04,Moderna,2
Argentina,2021-02-04,Oxford/AstraZeneca,144
Argentina,2021-02-04,Sinopharm/Beijing,56
Argentina,2021-02-04,Sputnik V,487913
Argentina,2021-02-05,CanSino,4
Argentina,2021-02-05,Oxford/AstraZeneca,149
Argentina,2021-02-05,Sinopharm/Beijing,63
Argentina,2021-02-05,Sputnik V,520947
Argentina,2021-02-06,Sinopharm/Beijing,68
Argentina,2021-02-06,Sputnik V,531874
Argentina,2021-02-07,Oxford/AstraZeneca,150
Argentina,2021-02-07,Sinopharm/Beijing,72
Argentina,2021-02-07,Sputnik V,533254
Argentina,2021-02-08,Oxford/AstraZeneca,152
Argentina,2021-02-08,Sinopharm/Beijing,73
Argentina,2021-02-08,Sputnik V,556687
Argentina,2021-02-09,Moderna,3
Argentina,2021-02-09,Oxford/AstraZeneca,154
Argentina,2021-02-09,Sinopharm/Beijing,79
Argentina,2021-02-09,Sputnik V,576883
Argentina,2021-02-10,Oxford/AstraZeneca,157
Argentina,2021-02-10,Sinopharm/Beijing,84
Argentina,2021-02-10,Sputnik V,592504
Argentina,2021-02-11,Oxford/AstraZeneca,160
Argentina,2021-02-11,Sinopharm/Beijing,90
Argentina,2021-02-11,Sputnik V,610357
Argentina,2021-02-12,Oxford/AstraZeneca,161
Argentina,2021-02-12,Sinopharm/Beijing,91
Argentina,2021-02-12,Sputnik V,626199
Argentina,2021-02-13,Oxford/AstraZeneca,163
Argentina,2021-02-13,Sinopharm/Beijing,93
Argentina,2021-02-13,Sputnik V,629231
Argentina,2021-02-14,Sinopharm/Beijing,95
Argentina,2021-02-14,Sputnik V,629382
Argentina,2021-02-15,Pfizer/BioNTech,17
Argentina,2021-02-15,Sinopharm/Beijing,97
Argentina,2021-02-15,Sputnik V,630697
Argentina,2021-02-16,Oxford/AstraZeneca,175
Argentina,2021-02-16,Pfizer/BioNTech,18
Argentina,2021-02-16,Sinopharm/Beijing,99
Argentina,2021-02-16,Sputnik V,631995
Argentina,2021-02-17,Oxford/AstraZeneca,186
Argentina,2021-02-17,Sinopharm/Beijing,102
Argentina,2021-02-17,Sputnik V,656398
Argentina,2021-02-18,Oxford/AstraZeneca,217
Argentina,2021-02-18,Pfizer/BioNTech,19
Argentina,2021-02-18,Sinopharm/Beijing,106
Argentina,2021-02-18,Sputnik V,720210
Argentina,2021-02-19,Oxford/AstraZeneca,407
Argentina,2021-02-19,Sinopharm/Beijing,107
Argentina,2021-02-19,Sputnik V,787931
Argentina,2021-02-20,Oxford/AstraZeneca,555
Argentina,2021-02-20,Sinopharm/Beijing,108
Argentina,2021-02-20,Sputnik V,820407
Argentina,2021-02-21,Oxford/AstraZeneca,956
Argentina,2021-02-21,Sputnik V,840188
Argentina,2021-02-22,Oxford/AstraZeneca,23569
Argentina,2021-02-22,Sputnik V,885171
Argentina,2021-02-23,Oxford/AstraZeneca,73783
Argentina,2021-02-23,Sinopharm/Beijing,110
Argentina,2021-02-23,Sputnik V,921939
Argentina,2021-02-24,Oxford/AstraZeneca,135888
Argentina,2021-02-24,Sinopharm/Beijing,113
Argentina,2021-02-24,Sputnik V,953702
Argentina,2021-02-25,Oxford/AstraZeneca,189066
Argentina,2021-02-25,Sinopharm/Beijing,117
Argentina,2021-02-25,Sputnik V,980020
Argentina,2021-02-26,Oxford/AstraZeneca,245141
Argentina,2021-02-26,Sinopharm/Beijing,126
Argentina,2021-02-26,Sputnik V,1005662
Argentina,2021-02-27,Moderna,4
Argentina,2021-02-27,Oxford/AstraZeneca,258490
Argentina,2021-02-27,Sinopharm/Beijing,127
Argentina,2021-02-27,Sputnik V,1010222
Argentina,2021-02-28,Oxford/AstraZeneca,263841
Argentina,2021-02-28,Sinopharm/Beijing,128
Argentina,2021-02-28,Sputnik V,1010999
Argentina,2021-03-01,Oxford/AstraZeneca,317181
Argentina,2021-03-01,Sinopharm/Beijing,830
Argentina,2021-03-01,Sputnik V,1031546
Argentina,2021-03-02,Oxford/AstraZeneca,368830
Argentina,2021-03-02,Sinopharm/Beijing,5796
Argentina,2021-03-02,Sputnik V,1050578
Argentina,2021-03-03,Oxford/AstraZeneca,404829
Argentina,2021-03-03,Sinopharm/Beijing,23633
Argentina,2021-03-03,Sputnik V,1068272
Argentina,2021-03-04,Oxford/AstraZeneca,430560
Argentina,2021-03-04,Sinopharm/Beijing,87941
Argentina,2021-03-04,Sputnik V,1090338
Argentina,2021-03-05,Oxford/AstraZeneca,454861
Argentina,2021-03-05,Sinopharm/Beijing,154459
Argentina,2021-03-05,Sputnik V,1111287
Argentina,2021-03-06,Oxford/AstraZeneca,462780
Argentina,2021-03-06,Sinopharm/Beijing,196887
Argentina,2021-03-06,Sputnik V,1115891
Argentina,2021-03-07,Oxford/AstraZeneca,467756
Argentina,2021-03-07,Sinopharm/Beijing,203332
Argentina,2021-03-07,Sputnik V,1116268
Argentina,2021-03-08,Oxford/AstraZeneca,499341
Argentina,2021-03-08,Pfizer/BioNTech,20
Argentina,2021-03-08,Sinopharm/Beijing,256285
Argentina,2021-03-08,Sputnik V,1134254
Argentina,2021-03-09,Oxford/AstraZeneca,515688
Argentina,2021-03-09,Sinopharm/Beijing,319404
Argentina,2021-03-09,Sputnik V,1170620
Argentina,2021-03-10,Oxford/AstraZeneca,527778
Argentina,2021-03-10,Sinopharm/Beijing,418152
Argentina,2021-03-10,Sputnik V,1223798
Argentina,2021-03-11,Oxford/AstraZeneca,537725
Argentina,2021-03-11,Sinopharm/Beijing,503049
Argentina,2021-03-11,Sputnik V,1315874
Argentina,2021-03-12,Oxford/AstraZeneca,545249
Argentina,2021-03-12,Sinopharm/Beijing,564203
Argentina,2021-03-12,Sputnik V,1408899
Argentina,2021-03-13,Oxford/AstraZeneca,548228
Argentina,2021-03-13,Sinopharm/Beijing,574710
Argentina,2021-03-13,Sputnik V,1441815
Argentina,2021-03-14,Oxford/AstraZeneca,548277
Argentina,2021-03-14,Sinopharm/Beijing,581368
Argentina,2021-03-14,Sputnik V,1444282
Argentina,2021-03-15,Oxford/AstraZeneca,554701
Argentina,2021-03-15,Sinopharm/Beijing,621993
Argentina,2021-03-15,Sputnik V,1534886
Argentina,2021-03-16,Oxford/AstraZeneca,557821
Argentina,2021-03-16,Sinopharm/Beijing,656673
Argentina,2021-03-16,Sputnik V,1630847
Argentina,2021-03-17,Oxford/AstraZeneca,560534
Argentina,2021-03-17,Sinopharm/Beijing,679654
Argentina,2021-03-17,Sputnik V,1744776
Argentina,2021-03-18,Moderna,6
Argentina,2021-03-18,Oxford/AstraZeneca,562223
Argentina,2021-03-18,Sinopharm/Beijing,701808
Argentina,2021-03-18,Sputnik V,1859918
Argentina,2021-03-19,Oxford/AstraZeneca,564072
Argentina,2021-03-19,Pfizer/BioNTech,21
Argentina,2021-03-19,Sinopharm/Beijing,725417
Argentina,2021-03-19,Sputnik V,1960685
Argentina,2021-03-20,Oxford/AstraZeneca,564414
Argentina,2021-03-20,Sinopharm/Beijing,729357
Argentina,2021-03-20,Sputnik V,2007294
Argentina,2021-03-21,CanSino,5
Argentina,2021-03-21,Oxford/AstraZeneca,564437
Argentina,2021-03-21,Sinopharm/Beijing,729706
Argentina,2021-03-21,Sputnik V,2026557
Argentina,2021-03-22,Oxford/AstraZeneca,565909
Argentina,2021-03-22,Sinopharm/Beijing,747108
Argentina,2021-03-22,Sputnik V,2090764
Argentina,2021-03-23,Oxford/AstraZeneca,570600
Argentina,2021-03-23,Sinopharm/Beijing,760668
Argentina,2021-03-23,Sputnik V,2179023
Argentina,2021-03-24,Oxford/AstraZeneca,571878
Argentina,2021-03-24,Sinopharm/Beijing,763810
Argentina,2021-03-24,Sputnik V,2212072
Argentina,2021-03-25,Oxford/AstraZeneca,573234
Argentina,2021-03-25,Sinopharm/Beijing,774715
Argentina,2021-03-25,Sputnik V,2303030
Argentina,2021-03-26,Oxford/AstraZeneca,575890
Argentina,2021-03-26,Sinopharm/Beijing,783893
Argentina,2021-03-26,Sputnik V,2384790
Argentina,2021-03-27,Moderna,7
Argentina,2021-03-27,Oxford/AstraZeneca,576784
Argentina,2021-03-27,Sinopharm/Beijing,786201
Argentina,2021-03-27,Sputnik V,2436695
Argentina,2021-03-28,Oxford/AstraZeneca,577691
Argentina,2021-03-28,Pfizer/BioNTech,23
Argentina,2021-03-28,Sinopharm/Beijing,786676
Argentina,2021-03-28,Sputnik V,2456146
Argentina,2021-03-29,Oxford/AstraZeneca,581284
Argentina,2021-03-29,Pfizer/BioNTech,24
Argentina,2021-03-29,Sinopharm/Beijing,798183
Argentina,2021-03-29,Sputnik V,2561270
Argentina,2021-03-30,Oxford/AstraZeneca,584167
Argentina,2021-03-30,Pfizer/BioNTech,25
Argentina,2021-03-30,Sinopharm/Beijing,808683
Argentina,2021-03-30,Sputnik V,2710961
Argentina,2021-03-31,Oxford/AstraZeneca,604115
Argentina,2021-03-31,Sinopharm/Beijing,820698
Argentina,2021-03-31,Sputnik V,2853997
Argentina,2021-04-01,Oxford/AstraZeneca,629692
Argentina,2021-04-01,Sinopharm/Beijing,824461
Argentina,2021-04-01,Sputnik V,2941825
Argentina,2021-04-02,Oxford/AstraZeneca,642517
Argentina,2021-04-02,Sinopharm/Beijing,826783
Argentina,2021-04-02,Sputnik V,2994848
Argentina,2021-04-03,Oxford/AstraZeneca,661160
Argentina,2021-04-03,Sinopharm/Beijing,827874
Argentina,2021-04-03,Sputnik V,3049596
Argentina,2021-04-04,Moderna,8
Argentina,2021-04-04,Oxford/AstraZeneca,675557
Argentina,2021-04-04,Sinopharm/Beijing,829538
Argentina,2021-04-04,Sputnik V,3082032
Argentina,2021-04-05,Oxford/AstraZeneca,709398
Argentina,2021-04-05,Sinopharm/Beijing,858672
Argentina,2021-04-05,Sputnik V,3185096
Argentina,2021-04-06,Oxford/AstraZeneca,735866
Argentina,2021-04-06,Sinopharm/Beijing,933830
Argentina,2021-04-06,Sputnik V,3277519
Argentina,2021-04-07,Oxford/AstraZeneca,766108
Argentina,2021-04-07,Sinopharm/Beijing,1052157
Argentina,2021-04-07,Sputnik V,3367427
Argentina,2021-04-08,Oxford/AstraZeneca,790206
Argentina,2021-04-08,Pfizer/BioNTech,28
Argentina,2021-04-08,Sinopharm/Beijing,1182469
Argentina,2021-04-08,Sputnik V,3449021
Argentina,2021-04-09,Oxford/AstraZeneca,808563
Argentina,2021-04-09,Sinopharm/Beijing,1330064
Argentina,2021-04-09,Sputnik V,3523512
Argentina,2021-04-10,Oxford/AstraZeneca,813381
Argentina,2021-04-10,Sinopharm/Beijing,1384057
Argentina,2021-04-10,Sputnik V,3557659
Argentina,2021-04-11,Oxford/AstraZeneca,814248
Argentina,2021-04-11,Sinopharm/Beijing,1416913
Argentina,2021-04-11,Sputnik V,3572254
Argentina,2021-04-12,Oxford/AstraZeneca,824165
Argentina,2021-04-12,Sinopharm/Beijing,1512278
Argentina,2021-04-12,Sputnik V,3648822
Argentina,2021-04-13,Moderna,9
Argentina,2021-04-13,Oxford/AstraZeneca,832511
Argentina,2021-04-13,Sinopharm/Beijing,1594776
Argentina,2021-04-13,Sputnik V,3744091
Argentina,2021-04-14,Oxford/AstraZeneca,838956
Argentina,2021-04-14,Pfizer/BioNTech,29
Argentina,2021-04-14,Sinopharm/Beijing,1662163
Argentina,2021-04-14,Sputnik V,3841983
Argentina,2021-04-15,Oxford/AstraZeneca,843156
Argentina,2021-04-15,Sinopharm/Beijing,1713352
Argentina,2021-04-15,Sputnik V,3937733
Argentina,2021-04-16,Oxford/AstraZeneca,846441
Argentina,2021-04-16,Sinopharm/Beijing,1759467
Argentina,2021-04-16,Sputnik V,4012083
Argentina,2021-04-17,Oxford/AstraZeneca,847335
Argentina,2021-04-17,Sinopharm/Beijing,1775586
Argentina,2021-04-17,Sputnik V,4040800
Argentina,2021-04-18,Oxford/AstraZeneca,848610
Argentina,2021-04-18,Sinopharm/Beijing,1777849
Argentina,2021-04-18,Sputnik V,4057169
Argentina,2021-04-19,Oxford/AstraZeneca,864010
Argentina,2021-04-19,Pfizer/BioNTech,30
Argentina,2021-04-19,Sinopharm/Beijing,1802816
Argentina,2021-04-19,Sputnik V,4107312
Argentina,2021-04-20,Oxford/AstraZeneca,916552
Argentina,2021-04-20,Sinopharm/Beijing,1826859
Argentina,2021-04-20,Sputnik V,4153492
Argentina,2021-04-21,CanSino,6
Argentina,2021-04-21,Moderna,10
Argentina,2021-04-21,Oxford/AstraZeneca,1036848
Argentina,2021-04-21,Sinopharm/Beijing,1848083
Argentina,2021-04-21,Sputnik V,4185984
Argentina,2021-04-22,CanSino,7
Argentina,2021-04-22,Oxford/AstraZeneca,1154179
Argentina,2021-04-22,Sinopharm/Beijing,1863651
Argentina,2021-04-22,Sputnik V,4231328
Argentina,2021-04-23,Oxford/AstraZeneca,1272522
Argentina,2021-04-23,Sinopharm/Beijing,1877753
Argentina,2021-04-23,Sputnik V,4293488
Argentina,2021-04-24,Oxford/AstraZeneca,1326390
Argentina,2021-04-24,Sinopharm/Beijing,1879325
Argentina,2021-04-24,Sputnik V,4330307
Argentina,2021-04-25,Oxford/AstraZeneca,1358850
Argentina,2021-04-25,Sinopharm/Beijing,1879700
Argentina,2021-04-25,Sputnik V,4346795
Argentina,2021-04-26,Oxford/AstraZeneca,1431969
Argentina,2021-04-26,Pfizer/BioNTech,31
Argentina,2021-04-26,Sinopharm/Beijing,1887271
Argentina,2021-04-26,Sputnik V,4438270
Argentina,2021-04-27,Oxford/AstraZeneca,1491102
Argentina,2021-04-27,Pfizer/BioNTech,32
Argentina,2021-04-27,Sinopharm/Beijing,1894633
Argentina,2021-04-27,Sputnik V,4525557
Argentina,2021-04-28,Oxford/AstraZeneca,1543262
Argentina,2021-04-28,Pfizer/BioNTech,33
Argentina,2021-04-28,Sinopharm/Beijing,1922599
Argentina,2021-04-28,Sputnik V,4604490
Argentina,2021-04-29,Oxford/AstraZeneca,1582027
Argentina,2021-04-29,Sinopharm/Beijing,1962733
Argentina,2021-04-29,Sputnik V,4681941
Argentina,2021-04-30,Oxford/AstraZeneca,1612588
Argentina,2021-04-30,Sinopharm/Beijing,1998905
Argentina,2021-04-30,Sputnik V,4730203
Argentina,2021-05-01,Oxford/AstraZeneca,1617852
Argentina,2021-05-01,Sinopharm/Beijing,2002618
Argentina,2021-05-01,Sputnik V,4741539
Argentina,2021-05-02,Oxford/AstraZeneca,1624445
Argentina,2021-05-02,Sinopharm/Beijing,2016750
Argentina,2021-05-02,Sputnik V,4760995
Argentina,2021-05-03,Oxford/AstraZeneca,1648070
Argentina,2021-05-03,Pfizer/BioNTech,34
Argentina,2021-05-03,Sinopharm/Beijing,2090738
Argentina,2021-05-03,Sputnik V,4838153
Argentina,2021-05-04,Oxford/AstraZeneca,1671686
Argentina,2021-05-04,Sinopharm/Beijing,2184851
Argentina,2021-05-04,Sputnik V,4952528
Argentina,2021-05-05,Moderna,11
Argentina,2021-05-05,Oxford/AstraZeneca,1696612
Argentina,2021-05-05,Sinopharm/Beijing,2263455
Argentina,2021-05-05,Sputnik V,5094074
Argentina,2021-05-06,Oxford/AstraZeneca,1714453
Argentina,2021-05-06,Pfizer/BioNTech,35
Argentina,2021-05-06,Sinopharm/Beijing,2328102
Argentina,2021-05-06,Sputnik V,5214487
Argentina,2021-05-07,CanSino,8
Argentina,2021-05-07,Oxford/AstraZeneca,1728418
Argentina,2021-05-07,Sinopharm/Beijing,2424235
Argentina,2021-05-07,Sputnik V,5309823
Argentina,2021-05-08,Oxford/AstraZeneca,1732477
Argentina,2021-05-08,Sinopharm/Beijing,2465856
Argentina,2021-05-08,Sputnik V,5338435
Argentina,2021-05-09,Oxford/AstraZeneca,1734217
Argentina,2021-05-09,Sinopharm/Beijing,2469355
Argentina,2021-05-09,Sputnik V,5351894
Argentina,2021-05-10,Oxford/AstraZeneca,1744147
Argentina,2021-05-10,Sinopharm/Beijing,2533537
Argentina,2021-05-10,Sputnik V,5419512
Argentina,2021-05-11,Moderna,12
Argentina,2021-05-11,Oxford/AstraZeneca,1752426
Argentina,2021-05-11,Pfizer/BioNTech,36
Argentina,2021-05-11,Sinopharm/Beijing,2598394
Argentina,2021-05-11,Sputnik V,5486885
Argentina,2021-05-12,Moderna,13
Argentina,2021-05-12,Oxford/AstraZeneca,1758211
Argentina,2021-05-12,Sinopharm/Beijing,2737779
Argentina,2021-05-12,Sputnik V,5539395
Argentina,2021-05-13,Oxford/AstraZeneca,1763915
Argentina,2021-05-13,Sinopharm/Beijing,2886512
Argentina,2021-05-13,Sputnik V,5577157
Argentina,2021-05-14,Oxford/AstraZeneca,1773127
Argentina,2021-05-14,Sinopharm/Beijing,3034886
Argentina,2021-05-14,Sputnik V,5616153
Argentina,2021-05-15,Oxford/AstraZeneca,1776213
Argentina,2021-05-15,Sinopharm/Beijing,3085339
Argentina,2021-05-15,Sputnik V,5657733
Argentina,2021-05-16,Oxford/AstraZeneca,1777688
Argentina,2021-05-16,Sinopharm/Beijing,3128649
Argentina,2021-05-16,Sputnik V,5680556
Argentina,2021-05-17,Oxford/AstraZeneca,1785000
Argentina,2021-05-17,Pfizer/BioNTech,37
Argentina,2021-05-17,Sinopharm/Beijing,3224404
Argentina,2021-05-17,Sputnik V,5764489
Argentina,2021-05-18,Oxford/AstraZeneca,1794799
Argentina,2021-05-18,Sinopharm/Beijing,3269359
Argentina,2021-05-18,Sputnik V,5908045
Argentina,2021-05-19,Oxford/AstraZeneca,1802157
Argentina,2021-05-19,Pfizer/BioNTech,38
Argentina,2021-05-19,Sinopharm/Beijing,3302719
Argentina,2021-05-19,Sputnik V,6035117
Argentina,2021-05-20,Oxford/AstraZeneca,1812669
Argentina,2021-05-20,Sinopharm/Beijing,3338008
Argentina,2021-05-20,Sputnik V,6171980
Argentina,2021-05-21,Oxford/AstraZeneca,1821881
Argentina,2021-05-21,Sinopharm/Beijing,3416237
Argentina,2021-05-21,Sputnik V,6261865
Argentina,2021-05-22,Oxford/AstraZeneca,1823408
Argentina,2021-05-22,Sinopharm/Beijing,3460236
Argentina,2021-05-22,Sputnik V,6316808
Argentina,2021-05-23,Oxford/AstraZeneca,1823826
Argentina,2021-05-23,Sinopharm/Beijing,3483116
Argentina,2021-05-23,Sputnik V,6338788
Argentina,2021-05-24,Oxford/AstraZeneca,1825009
Argentina,2021-05-24,Pfizer/BioNTech,39
Argentina,2021-05-24,Sinopharm/Beijing,3502610
Argentina,2021-05-24,Sputnik V,6406508
Argentina,2021-05-25,Oxford/AstraZeneca,1847094
Argentina,2021-05-25,Sinopharm/Beijing,3505792
Argentina,2021-05-25,Sputnik V,6444681
Argentina,2021-05-26,Oxford/AstraZeneca,1873976
Argentina,2021-05-26,Sinopharm/Beijing,3539382
Argentina,2021-05-26,Sputnik V,6537377
Argentina,2021-05-27,Oxford/AstraZeneca,1919455
Argentina,2021-05-27,Sinopharm/Beijing,3572644
Argentina,2021-05-27,Sputnik V,6628116
Argentina,2021-05-28,Oxford/AstraZeneca,2011848
Argentina,2021-05-28,Sinopharm/Beijing,3601559
Argentina,2021-05-28,Sputnik V,6752986
Argentina,2021-05-29,Oxford/AstraZeneca,2121794
Argentina,2021-05-29,Pfizer/BioNTech,40
Argentina,2021-05-29,Sinopharm/Beijing,3611467
Argentina,2021-05-29,Sputnik V,6860671
Argentina,2021-05-30,Oxford/AstraZeneca,2180950
Argentina,2021-05-30,Sinopharm/Beijing,3613091
Argentina,2021-05-30,Sputnik V,6928790
Argentina,2021-05-31,Oxford/AstraZeneca,2308187
Argentina,2021-05-31,Sinopharm/Beijing,3630000
Argentina,2021-05-31,Sputnik V,7083766
Argentina,2021-06-01,Oxford/AstraZeneca,2457290
Argentina,2021-06-01,Sinopharm/Beijing,3643562
Argentina,2021-06-01,Sputnik V,7236099
Argentina,2021-06-02,CanSino,9
Argentina,2021-06-02,Oxford/AstraZeneca,2620878
Argentina,2021-06-02,Sinopharm/Beijing,3656712
Argentina,2021-06-02,Sputnik V,7368817
Argentina,2021-06-03,Oxford/AstraZeneca,2843836
Argentina,2021-06-03,Sinopharm/Beijing,3668937
Argentina,2021-06-03,Sputnik V,7483387
Argentina,2021-06-04,Oxford/AstraZeneca,3148985
Argentina,2021-06-04,Sinopharm/Beijing,3684802
Argentina,2021-06-04,Sputnik V,7570679
Argentina,2021-06-05,Oxford/AstraZeneca,3426776
Argentina,2021-06-05,Sinopharm/Beijing,3689485
Argentina,2021-06-05,Sputnik V,7615093
Argentina,2021-06-06,Oxford/AstraZeneca,3614709
Argentina,2021-06-06,Sinopharm/Beijing,3691521
Argentina,2021-06-06,Sputnik V,7642539
Argentina,2021-06-07,Oxford/AstraZeneca,3894241
Argentina,2021-06-07,Sinopharm/Beijing,3700894
Argentina,2021-06-07,Sputnik V,7706937
Argentina,2021-06-08,Oxford/AstraZeneca,4171750
Argentina,2021-06-08,Sinopharm/Beijing,3709014
Argentina,2021-06-08,Sputnik V,7791322
Argentina,2021-06-09,CanSino,11
Argentina,2021-06-09,Moderna,14
Argentina,2021-06-09,Oxford/AstraZeneca,4430842
Argentina,2021-06-09,Pfizer/BioNTech,41
Argentina,2021-06-09,Sinopharm/Beijing,3715814
Argentina,2021-06-09,Sputnik V,7897870
Argentina,2021-06-10,Moderna,15
Argentina,2021-06-10,Oxford/AstraZeneca,4654792
Argentina,2021-06-10,Pfizer/BioNTech,42
Argentina,2021-06-10,Sinopharm/Beijing,3721872
Argentina,2021-06-10,Sputnik V,8003016
Argentina,2021-06-11,Oxford/AstraZeneca,4839019
Argentina,2021-06-11,Sinopharm/Beijing,3732613
Argentina,2021-06-11,Sputnik V,8174929
Argentina,2021-06-12,Oxford/AstraZeneca,4905050
Argentina,2021-06-12,Sinopharm/Beijing,3744698
Argentina,2021-06-12,Sputnik V,8281982
Argentina,2021-06-13,Oxford/AstraZeneca,4949714
Argentina,2021-06-13,Sinopharm/Beijing,3746524
Argentina,2021-06-13,Sputnik V,8318194
Argentina,2021-06-14,Oxford/AstraZeneca,5076659
Argentina,2021-06-14,Sinopharm/Beijing,3757163
Argentina,2021-06-14,Sputnik V,8418732
Argentina,2021-06-15,Oxford/AstraZeneca,5206031
Argentina,2021-06-15,Pfizer/BioNTech,43
Argentina,2021-06-15,Sinopharm/Beijing,3762949
Argentina,2021-06-15,Sputnik V,8541497
Argentina,2021-06-16,Oxford/AstraZeneca,5391814
Argentina,2021-06-16,Sinopharm/Beijing,3767767
Argentina,2021-06-16,Sputnik V,8638116
Argentina,2021-06-17,Moderna,16
Argentina,2021-06-17,Oxford/AstraZeneca,5620988
Argentina,2021-06-17,Sinopharm/Beijing,3774097
Argentina,2021-06-17,Sputnik V,8717084
Argentina,2021-06-18,Moderna,17
Argentina,2021-06-18,Oxford/AstraZeneca,5945804
Argentina,2021-06-18,Pfizer/BioNTech,46
Argentina,2021-06-18,Sinopharm/Beijing,3780000
Argentina,2021-06-18,Sputnik V,8785777
Argentina,2021-06-19,Oxford/AstraZeneca,6132365
Argentina,2021-06-19,Sinopharm/Beijing,3782573
Argentina,2021-06-19,Sputnik V,8829285
Argentina,2021-06-20,Oxford/AstraZeneca,6210324
Argentina,2021-06-20,Sinopharm/Beijing,3782871
Argentina,2021-06-20,Sputnik V,8850253
Argentina,2021-06-21,Oxford/AstraZeneca,6348669
Argentina,2021-06-21,Pfizer/BioNTech,47
Argentina,2021-06-21,Sinopharm/Beijing,3784172
Argentina,2021-06-21,Sputnik V,8880365
